RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.00470,SAN,2,-70.5817,-35.2329,0.117,27283.0,1.0,[1344],188.7,188.7,188.7,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00471,SAN,2,-70.5752,-35.229,0.303,27284.0,1.0,[1344],188.2,188.2,188.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00472,SAN,2,-70.5583,-35.226,0.13,35875.0,1.0,[1344],187.5,187.5,187.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00473,SAN,2,-70.564,-35.1541,0.052,35876.0,1.0,[1344],179.8,179.8,179.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00474,SAN,2,-70.5601,-35.1468,0.049,27285.0,1.0,[1344],179.0,179.0,179.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00475,SAN,2,-70.5554,-35.1416,0.027,35877.0,1.0,[1344],178.3,178.3,178.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00476,SAN,2,-70.5582,-35.1424,0.066,35878.0,1.0,[1344],178.5,178.5,178.5,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00477,SAN,2,-70.5618,-35.141,0.055,35879.0,1.0,[1344],178.4,178.4,178.4,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00478,SAN,2,-70.5561,-35.1159,0.03,35880.0,1.0,[1344],175.5,175.5,175.5,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00479,SAN,2,-70.5495,-34.7195,0.17,27286.0,1.0,[1344],132.8,132.8,132.8,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00480,SAN,2,-70.5398,-34.7174,0.254,35881.0,1.0,[1344],132.3,132.3,132.3,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00481,SAN,2,-70.5393,-34.711,0.188,35882.0,1.0,[1344],131.6,131.6,131.6,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00482,SAN,2,-70.5486,-34.7068,0.025,35883.0,1.0,[1344],131.4,131.4,131.4,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00483,SAN,2,-70.5339,-34.7002,0.398,27287.0,1.0,[1344],130.3,130.3,130.3,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00484,SAN,2,-70.5269,-34.6199,0.144,35884.0,1.0,[1344],121.6,121.6,121.6,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00485,SAN,2,-70.5218,-34.6161,0.107,35885.0,1.0,[1344],121.0,121.0,121.0,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00486,SAN,2,-70.5247,-34.6095,0.092,27288.0,1.0,[1344],120.4,120.4,120.4,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00487,SAN,2,-70.5318,-34.6057,0.105,27289.0,1.0,[1344],120.2,120.2,120.2,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00488,SAN,2,-70.4928,-34.6003,0.018,35886.0,1.0,[1344],118.6,118.6,118.6,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00489,SAN,2,-70.4996,-34.5994,0.097,35887.0,1.0,[1344],118.7,118.7,118.7,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00490,SAN,2,-70.5118,-34.6012,0.576,35888.0,1.0,[1344],119.2,119.2,119.2,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00491,SAN,2,-70.5482,-34.5925,0.154,35889.0,1.0,[1344],119.3,119.3,119.3,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00492,SAN,2,-70.4822,-34.5685,0.125,35890.0,1.0,[1344],114.9,114.9,114.9,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00493,SAN,2,-70.4814,-34.5499,0.061,35891.0,1.0,[1344],112.9,112.9,112.9,1976-2023,N/A,N/A,N/A,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.00494,SAN,2,-70.4822,-34.5424,0.461,35892.0,1.0,[1344],112.1,112.1,112.1,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00495,SAN,2,-70.4854,-34.5371,0.012,35893.0,1.0,[1344],111.7,111.7,111.7,1976-2023,N/A,N/A,N/A,1.0,['2000.17 - 2018.25']
RGI60-17.00496,SAN,2,-70.358,-34.4852,0.243,35894.0,1.0,[1344],103.2,103.2,103.2,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.00497,SAN,2,-70.3683,-34.4829,0.584,35895.0,1.0,[1344],103.1,103.1,103.1,1976-2023,N/A,N/A,N/A,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
