RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.04311,SAN,1,-73.0873,-52.4734,0.012,37134.0,1.0,[2000],401.5,401.5,401.5,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04312,SAN,1,-72.7027,-52.4677,0.205,70571.0,1.0,[2000],382.8,382.8,382.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04313,SAN,1,-73.3271,-52.4789,0.626,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04314,SAN,1,-73.086,-52.4709,0.019,37135.0,1.0,[2000],401.6,401.6,401.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04315,SAN,1,-72.6871,-52.4634,0.033,37136.0,1.0,[2000],382.4,382.4,382.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04316,SAN,1,-72.7415,-52.4777,0.584,28795.0,1.0,[2000],383.9,383.9,383.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04317,SAN,1,-73.0627,-52.4702,0.603,70572.0,1.0,[2000],400.5,400.5,400.5,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04318,SAN,1,-72.7274,-52.4633,0.617,28796.0,1.0,[2000],384.3,384.3,384.3,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04319,SAN,1,-73.4894,-52.4721,0.05,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04320,SAN,1,-73.3405,-52.4726,0.341,28797.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04321,SAN,1,-73.0819,-52.4652,0.04,37137.0,1.0,[2000],401.8,401.8,401.8,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04322,SAN,1,-73.3238,-52.4711,0.355,28798.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04323,SAN,1,-72.7175,-52.4584,0.084,28799.0,1.0,[2000],384.2,384.2,384.2,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04324,SAN,1,-73.0779,-52.4644,0.02,37138.0,1.0,[2000],401.7,401.7,401.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04325,SAN,1,-73.0726,-52.4655,0.242,28800.0,1.0,[2000],401.3,401.3,401.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04326,SAN,1,-72.965,-52.4596,0.036,37139.0,1.0,[2000],396.4,396.4,396.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04327,SAN,1,-72.9699,-52.4566,0.015,37140.0,1.0,[2000],396.8,396.8,396.8,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04328,SAN,1,-73.0705,-52.4547,0.033,28801.0,1.0,[2000],402.0,402.0,402.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04329,SAN,1,-73.0743,-52.4529,0.018,37141.0,1.0,[2000],402.4,402.4,402.4,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04330,SAN,1,-73.0665,-52.4516,0.132,37142.0,1.0,[2000],402.1,402.1,402.1,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04331,SAN,1,-72.919,-52.4487,0.22,28802.0,1.0,[2000],394.9,394.9,394.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04332,SAN,1,-73.0703,-52.4449,0.041,37143.0,1.0,[2000],402.8,402.8,402.8,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04333,SAN,1,-72.9327,-52.4437,0.312,28803.0,1.0,[2000],396.0,396.0,396.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04334,SAN,1,-73.072,-52.4427,0.016,37144.0,1.0,[2000],403.0,403.0,403.0,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
